sinogram order,symmetry axis,run,t forward (s),t back (s),data,mode,num_subsets,threadsperblock
PVR,0,1,0.1921520233154297,2.1850340366363525,nontof_sinogram,GPU,34,32
PVR,0,2,0.2050309181213379,2.3414289951324463,nontof_sinogram,GPU,34,32
PRV,0,1,0.2069411277770996,1.8887560367584229,nontof_sinogram,GPU,34,32
PRV,0,2,0.19301295280456543,2.181532859802246,nontof_sinogram,GPU,34,32
PVR,1,1,0.21132683753967285,2.213423252105713,nontof_sinogram,GPU,34,32
PVR,1,2,0.22105908393859863,2.3169031143188477,nontof_sinogram,GPU,34,32
PRV,1,1,0.1942288875579834,1.9105989933013916,nontof_sinogram,GPU,34,32
PRV,1,2,0.20357203483581543,1.8275699615478516,nontof_sinogram,GPU,34,32
PVR,2,1,0.7594108581542969,6.857663869857788,nontof_sinogram,GPU,34,32
PVR,2,2,0.7878320217132568,6.0841100215911865,nontof_sinogram,GPU,34,32
PRV,2,1,0.6780858039855957,5.399823188781738,nontof_sinogram,GPU,34,32
PRV,2,2,0.7096681594848633,5.5548248291015625,nontof_sinogram,GPU,34,32
